scorer,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000
bodyparts,c1,c1,c1,m1,m1,m1,m2,m2,m2,m3,m3,m3,m4,m4,m4,m5,m5,m5,m6,m6,m6,m7,m7,m7,m8,m8,m8
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
37,301.4831014,209.5575747,1,359.7820158,210.1158539,1,345.3133397,174.9496343,1,307.1255507,160.4105239,1,276.3921943,176.5093074,1,261.2546835,208.2350945,1,270.6161623,242.5670214,1,307.6336139,258.1378525,1,346.6615006,242.6344519,1
38,299.56003,228.4347578,1,357.4989778,227.9615172,1,343.1505079,197.8404846,1,304.6543269,185.3842182,1,274.9798703,199.6079068,1,262.7220051,228.0423813,1,269.7733961,260.6607275,1,303.9266737,278.3424878,1,341.8522688,259.8439792,0.999999285
39,296.0945492,226.5304583,1,347.9992062,225.4365044,0.999999881,338.0060854,197.96323,1,299.4835463,184.0096731,1,269.4602498,200.706892,1,256.0393667,228.1163244,1,266.1647148,260.1006451,1,300.76758,276.831955,1,334.9281216,254.7365248,0.999899805
40,288.6884613,225.479332,1,340.5895067,223.7636435,1,333.3556063,195.0813131,1,294.79303,179.7394872,1,262.4647267,196.9862614,1,250.5735216,224.5205908,1,260.3537841,258.8113222,1,292.6826591,274.7783513,1,325.8691497,256.2049966,1
41,289.6455822,233.4473267,1,340.5076569,231.147892,1,333.3812097,205.2257791,1,294.2973971,192.2407765,1,267.5076518,206.446367,1,254.8195722,233.3599296,1,264.4625139,267.6145282,1,300.8080196,286.3180137,1,333.2373915,263.0640996,0.999997616
42,290.2853756,231.1105053,1,340.369029,229.740831,1,333.3409704,203.3499742,1,291.9776759,190.0551729,1,265.7704501,203.0311818,1,254.3335202,231.3535252,1,264.6184974,266.1809306,1,300.9882175,284.7066379,1,332.6627211,262.5984795,0.999991953
43,293.588886,233.6910024,1,342.6828642,233.4289284,1,334.0546069,206.016578,1,296.8364186,192.775147,1,268.4666786,206.273756,1,256.4133754,234.3726401,1,264.7186379,268.2498531,1,301.8052233,288.9116583,1,332.9064946,264.8291745,0.999998331
44,293.6526483,239.5217347,1,337.7236474,236.5474491,1,332.1091561,210.1441026,1,297.767993,198.3741074,1,269.7940328,210.9585309,1,256.3732958,240.3170362,1,265.995801,274.3199568,1,301.3987403,294.1009896,1,326.9333203,266.2486043,0.999995351
45,297.7313747,249.7163882,1,336.5338717,249.0596895,1,330.5731511,221.6406977,1,301.8786558,212.960393,1,274.162972,223.6789992,1,261.5485204,250.1080251,1,270.1204944,280.9940777,1,298.8424506,295.808532,1,326.3215001,275.0123968,1
46,297.5992484,249.2551775,1,335.1818347,248.4359374,1,329.7970209,222.0756619,1,301.3786802,213.2805449,1,275.8539262,224.6253572,1,263.0583847,249.6839905,1,270.929074,279.0016761,1,298.4636512,294.2026939,1,325.6847888,274.4413443,1
