scorer,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000,DeepCut_resnetNone_PupilLabAug31shuffle1_1030000
bodyparts,c1,c1,c1,m1,m1,m1,m2,m2,m2,m3,m3,m3,m4,m4,m4,m5,m5,m5,m6,m6,m6,m7,m7,m7,m8,m8,m8
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
43,333.8970741,225.565764,0.999999762,400.5437531,236.9289896,0.999998093,374.7696364,191.211283,1,335.4977348,171.6849928,1,291.0928316,190.3262434,1,266.4318986,227.9422298,1,275.1166505,264.5547569,0.999999166,354.4624395,286.9425046,0.923386574,387.8619373,278.565496,1
44,302.3407972,200.4524632,1,369.149694,205.4342766,1,351.9838054,164.2784393,0.999999881,306.5287464,137.9976201,1,257.9688578,157.5651306,1,235.6359848,195.8668814,1,246.0397923,239.2561839,1,294.7720118,267.4870214,0.999993443,353.6261997,247.5464909,1
45,331.604143,199.2004418,0.999959409,404.5449054,206.4881885,1,383.4083591,163.7426293,1,335.4861979,137.8196111,1,293.2216444,160.1171684,0.999997616,273.1540627,195.1054263,1,281.4328036,225.4351072,1,340.8567379,256.1900127,0.999997914,386.597877,247.2868907,1
46,337.0044634,200.5058231,1,406.6953487,207.5890744,1,382.9315112,163.2933459,1,340.2780689,143.1983967,1,298.2032967,162.5731716,1,274.7237569,198.8524389,1,285.9062443,229.62955,1,341.792828,257.0063314,0.999986231,390.8996894,247.016485,1
47,333.5401103,202.7952626,0.99999994,407.5310302,209.0322649,1,384.3878269,166.058089,1,340.0391525,143.7557001,1,301.5881342,161.4856491,1,275.7079511,200.4701843,1,285.043478,232.6148295,1,339.8987045,257.5472906,0.999995589,391.2064595,248.3105512,1
48,341.2401302,202.1384153,1,409.8734694,210.401967,1,388.7249141,165.9354383,1,340.3670493,141.666276,1,305.9691629,158.120708,1,282.3954763,195.8930392,1,290.2607102,231.9359241,1,340.8343615,257.1993394,0.999998748,393.0695176,250.6062657,1
49,340.8265828,205.237617,1,410.8613539,211.6510798,1,389.4783235,165.3960909,1,346.3845711,145.8251915,1,306.4171648,163.7780561,1,285.0991259,199.7809045,1,295.515403,238.4832017,1,342.0220342,260.2807208,0.999998748,392.8709302,252.8865512,1
50,341.6882699,202.9915628,1,411.4940505,209.9267275,1,386.5406262,165.0982834,1,345.5144081,143.9045944,1,305.471766,162.2145362,1,282.4660711,200.5337343,1,295.1805911,238.0105133,1,340.4905995,260.7484156,1,391.7550898,252.3740574,1
51,343.7594092,205.9749457,1,410.3618891,209.0841546,1,387.4255953,166.1210427,1,345.6147561,142.3429503,1,307.6382492,157.4053907,1,281.6652617,197.2294455,1,300.7501884,240.0111694,1,339.4395416,263.0044632,0.999999762,394.9918684,250.2760201,1
52,348.8253052,204.0403481,1,418.7828937,208.1441641,1,396.0447337,165.4754231,1,352.0361447,142.0898352,1,313.0118141,158.5367985,1,288.3104963,197.5604706,1,300.7673953,237.4311905,1,347.0462684,262.987222,0.999999583,403.7935684,249.9942918,1
